,index,sentence,label
10,1416,"['وستكون', 'جنوب', 'أفريقيا', 'سادس', 'منتخب', 'يشرف', 'عليه', 'باريرا', 'بعد', 'أن', 'شارك', 'في', '5', 'مونديالات', 'مع', 'منتخبات', 'البرازيل', '(', '1994', 'حين', 'أحرز', 'اللقب', 'و2006', ')', 'والكويت', '(', '1982', ')', 'والإمارات', '(', '1990', ')', 'والسعودية', '(', '1998', ')', '،', 'وأشرف', 'على', 'أندية', 'كثيرة', 'منها', 'فلومينيزي', 'البرازيلي', 'وفالنسيا', 'الإسباني', 'وفنربغشة', 'التركي', 'ونيويورك', 'متروستارز', 'الأميركي']","['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'O']"
11,26,"['وأضاف', 'أن', 'باريس', 'لا', 'تعتقد', 'أن', 'نزع', 'سلاح', 'حزب', 'الله', 'يمكن', 'أن', 'يتحقق', 'بقصف', 'لبنان', 'كله', 'بل', 'من', 'خلال', 'الحوار', 'الوطني']","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
12,1457,"['وابو', 'عبد', 'الله', 'التركي', 'ودع', 'مهنة', 'الاهل', 'في', 'تجارة', 'الذهب', 'والفضة', 'بناء', 'على', 'نصيحة', 'الاصوليين', '،', 'وانتقل', 'الان', 'الى', 'تجارة', 'العقارات', 'والفلل', 'الفاخرة', 'في', 'الشطر', 'التركي', 'من', 'قبرص', 'منذ', 'عدة', 'شهور']","['B-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
13,4057,"['وكانت', 'رايس', 'قد', 'حذرت', 'الحكومة', 'السودانية', 'في', 'خطاب', 'أمام', 'الجمعية', 'الأفريقية', 'المنعقدة', 'بواشنطن', 'من', '""', 'عواقب', 'وخيمة', '""', 'إذا', 'رفضت', 'السماح', 'بنشر', 'قوات', 'أممية', 'في', 'إقليم', 'دارفور', '،', 'ودعتها', 'إلى', 'القبول', 'بنشر', 'هذه', 'القوات', '""', 'فورا', 'ودون', 'شروط', '""']","['O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,3217,"['وطلب', 'رئيس', 'بلدية', 'نيويورك', 'من', 'سكان', 'جنوب', 'مانهاتن', 'اخلاء', 'هذه', 'المنطقة']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
15,2053,"['كما', 'أشار', 'إلى', 'ضرورة', 'أن', 'تقدم', 'المعاهد', 'الدينية', 'وكليات', 'اللغة', 'العربية', 'مساعدات', 'للائمة', 'لدراسة', 'اللغة', 'العربية']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,2339,"['فإذا', 'أتيح', 'لهونج', 'كونج', 'أن', 'يكون', 'لها', 'نظام', 'ديمقراطي', 'ذو', 'سلطة', 'شعبية', 'حقيقية', 'بحلول', 'عام', '1997', 'فإنه', 'سيكون', 'عسيرا', 'تماما', 'على', 'الصين', 'أن', 'تثير', 'غضب', 'الرأي', 'العام', 'العالمي', 'وتنكث', 'بالتعهدات', 'التي', 'قطعتها', 'على', 'نفسها', 'في', 'البيان', 'المشترك', 'لعام', '1984']","['O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,280,"['وهذا', 'شجع', 'السكان', 'علي', 'الزراعة', 'وإنتشار', 'المجانعات', 'الزراعية']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,957,"['ورفض', 'بولتون', 'الاحد', 'امكان', 'تعزيز', 'قوة', 'الطوارىء', 'الدولية', 'الموجودة', 'حاليا', 'في', 'لبنان', '،', 'معتبرا', 'ان', 'القوة', 'الدولية', 'التي', 'تضم', 'نحو', 'الفي', 'عنصر', 'لا', 'تخولها', 'مهمتها', 'التدخل', 'بفاعلية']","['O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,2194,"['ويقف', 'مهاجراني', 'وكبار', 'مساعديه', 'في', 'وضع', 'لايحسدون', 'عليه', 'هذه', 'الأيام', 'مع', 'ما', 'بات', 'يعرف', '""', 'بانفجار', 'الحريات', 'الصحفية', '""', '،', 'إذ', 'لايأتي', 'يوم', 'إلا', 'وتصدر', 'فيه', 'صحيفة', 'يومية', 'أو', 'أسبوعية', 'أو', 'شهرية', 'جديدة', 'في', 'مختلف', 'المجالات', '،', 'كما', 'بدأت', 'الصحفية', 'تتناول', 'كل', 'شيء', 'تقريبا', 'وتتطرق', 'إلى', 'شتى', 'الموضوعات', 'حتى', 'تلك', 'التي', 'كانت', 'محرمة', 'على', 'الجدال', 'والنقاش', 'حتى', 'الأمس', 'القريب']","['O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,1842,"['ومن', 'أشهرها', ':', 'مصرح', '""', 'بجماليون', '""', 'لجورج', 'برنارد', 'شو', '(', 'ثم', 'حولها', 'الأمريكيون', 'ليرنر', 'و', 'لو', 'إلى', 'المسرح', 'الموسيقي', 'والفيلم', '""', 'سيدتي', 'الجميلة', '""', ')']","['O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O']"
21,334,"['واشارت', 'التوصيات', 'إلى', 'استثمار', 'تطور', 'بعض', 'المكاتب', 'في', 'الدول', 'العربية', 'لإرسال', 'متدربين', 'من', 'قبل', 'الويبو', 'بشكل', 'دوري', 'لإحداث', 'تبادل', 'الخبرات', 'بين', 'الدول', 'العربية', 'وأن', 'تعمل', 'جامعة', 'الدول', 'العربية', 'على', 'وضع', 'برنامج', 'تنفيذي', 'يستهدف', 'استثمار', 'المنح', 'الدراسية', 'في', 'الدرجات', 'العليا', 'في', 'مجال', 'الملكية', 'الفكرية', 'التي', 'تقدمها', 'الويبو', 'في', 'عدد', 'من', 'الجامعات', 'العربية', 'والعالمية', 'بمعدل', 'شخصين', 'من', 'كل', 'دولة', 'عربية', 'سنوياً']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,3106,"['وعاد', 'إلي', 'الشرق', 'الأوسط', 'ليعمل', 'مقدما', 'ومديرا', 'لمؤتمر', 'عالي', 'المستوي', 'يعقد', 'في', 'الدوحة', 'في', '12', 'سبتمبر']","['O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
23,3309,"['وقفزت', 'حصيلة', 'الجمارك', 'بنحو21%', 'لتسجل9', ',', '4', 'مليار', 'جنيه', 'وضرائب', 'المبيعات', 'بنسبة7', ',', '5%', 'لتصل', 'الي34', 'مليار', 'جنيه', 'والضرائب', 'العامة', 'سجلت45', 'مليار', 'جنيه', 'بنسبة', 'نمو10%', 'والايرادات', 'الاخري', 'غير', 'الضريبية', 'قفزت', 'بنسبة39%', 'لتصل', 'الي49', 'مليار', 'جنيه']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC']"
24,1091,"['وشيئا', 'فشيئا', 'تطورت', 'حوادث', 'الرد', 'والانتقام', 'إلى', 'حملة', 'واسعة', 'على', 'عناصر', 'الجيش', 'والأمن', 'الجديدين', 'الذين', 'هم', 'في', 'أكثريتهم', 'من', 'العراقيين', 'الشيعة', '،', 'وإلى', 'تفجيرات', 'عشوائية', 'بين', 'المدنيين']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
25,3940,"['حضر', 'اللقاء', 'سمو', 'الشيخ', 'حشر', 'بن', 'مكتوم', 'آل', 'مكتوم', 'مدير', 'دائرة', 'إعلام', 'دبي', 'وسمو', 'الشيخ', 'أحمد', 'بن', 'سعيد', 'آل', 'مكتوم', 'رئيس', 'دائرة', 'الطيران', 'المدني', 'في', 'دبي', 'الرئيس', 'الأعلى', 'لطيران', 'الإمارات', 'وسمو', 'الشيخ', 'راشد', 'بن', 'محمد', 'بن', 'راشد', 'آل', 'مكتوم', 'وسمو', 'الشيخ', 'حمدان', 'بن', 'محمد', 'بن', 'راشد', 'آل', 'مكتوم', 'رئيس', 'المجلس', 'التنفيذي', 'في', 'دبي', 'وسمو', 'الشيخ', 'مكتوم', 'بن', 'محمد', 'بن', 'راشد', 'آل', 'مكتوم', 'رئيس', 'سلطة', 'منطقة', 'دبي', 'الحرة', 'للتكنولوجيا', 'والإعلام', 'وسمو', 'الشيخ', 'أحمد', 'بن', 'محمد', 'بن', 'راشد', 'آل', 'مكتوم', 'وسمو', 'الشيخ', 'مايد', 'بن', 'محمد', 'بن', 'راشد', 'آل', 'مكتوم']","['O', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'O', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'O', 'O', 'B-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'I-PERS', 'O']"
26,3159,"['لقد', 'زرت', 'نجيب', 'محفوظ', 'أكثر', 'من', 'مرة', 'بعيدا', 'عن', 'الأضواء', '،', 'خاصة', 'حينما', 'تعرض', 'لمحاولة', 'اغتيال', 'فاشلة', 'فقد', 'ذهبت', 'إليه', 'فى', 'المستشفى', 'وقبلت', 'يديه', 'وانصرفت']","['O', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,2130,"['والأقسام', 'التحقيقية', 'في', 'هذا', 'المجمع', 'العلمي', 'والثقافي', 'هي', ':', 'قسم', 'القرآن', 'الكريم', '،', 'الحديث', '،', 'نهج', 'البلاغة', '،', 'الفقه', '،', 'الكلام', 'والأديان', 'والفلسفة', '،', 'تصحيح', 'النصوص', 'الإسلامية', '،', 'الثقافة', 'والأدب', 'الإسلامي', '،', 'جغرافية', 'إيران', 'والاقطار', 'الإسلامية', '،', 'الترجمة', 'باللغات', 'الأجنبية', '""', 'العربية', '،', 'الفرنسية', '،', 'الانجليزية', '،', 'الألمانية', '،', 'الأردية', '،', 'الروسية', '""', '،', 'العلوم', 'الاجتماعية', '،', 'الفنون', 'الإسلامية', '،', 'المراجعة', '،', 'آداب', 'الأحداث', 'والمتعلمين', 'المبتدئين', '،', 'النشر', '،', 'مجلة', 'مشكاة', '،', 'التاريخ', 'الإسلامي', '،', 'الاقتصاد', 'الإسلامي', '،', 'علم', 'الفلك', '،', 'المكتبة', 'المرجعية']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
28,2839,"['ان', 'ما', 'سنقوم', 'به', 'خلال', 'هذه', 'الزيارة', 'هو', 'ان', 'نحول', 'هذه', 'الافاق', 'الى', 'عمل', 'واتفاقيات', 'والى', 'اليات', 'عمل', 'لمتابعة', 'هذه', 'الاتفاقيات', '،', 'وتنسيق', 'سياسي', 'على', 'اعلى', 'مستوى', '،', 'خاصة', 'فيما', 'يتعلق', 'بقضية', 'تعاون', 'دول', 'الجنوب', 'التي', 'ستحمي', 'كل', 'الدول', 'المعرضة', 'لضغوط', 'ومحاولات', 'حصار', 'كما', 'هو', 'الوضع', 'مع', 'فنزويلا', 'وسورية', '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'O']"
29,3997,"['لكنها', 'نقلت', 'عن', 'الحكومة', 'الكورية', 'الجنوبية', 'نفيها', 'أمس', 'استخدام', 'المساعدات', 'الخارجية', 'لشراء', 'أصوات', 'أعضاء', 'مجلس', 'الأمن']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG']"
30,1573,"['وذكرت', 'صحيفة', '""', 'حرييت', '""', 'الواسعة', 'الانتشار', 'ان', 'هاتين', 'الطائرتين', 'دعيتا', 'الي', 'الهبوط', 'في', 'مطار', 'ديار', 'بكر', 'في', '27', 'يوليو', 'والثامن', 'من', 'اغسطس', 'علي', 'التوالي']","['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
31,877,"['وفي', 'العام', '1940', '،', 'صار', 'أينشتاين', 'مواطنا', 'أمريكيا', 'مع', 'احتفاظه', 'بجنسيته', 'السويسرية']","['O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O']"
32,2240,"['ولمزيد', 'من', 'مواجهة', 'اضطرت', 'الحكومة', 'إلى', 'إقامة', 'ست', 'مدن', 'وكاولون', 'اضطرت', 'الحكومة', 'إلى', 'إقامة', 'ست', 'مدن', 'جديدة', 'تطل', 'على', 'السواحل', 'لإقامة', 'عمارات', 'الإسكان', 'التعاوني', 'واستيعاب', 'أكبر', 'عدد', 'من', 'المهاجرين', 'واللاجئين', 'في', 'الأرض', 'الجديدة', '""', 'المستأجرة', '""', '!', 'المرأة']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
33,1596,"['نال', 'نزار', 'القباني', 'شهادة', 'البكالوريا', 'من', 'الكلية', 'العلمية', 'الوطنية', 'في', 'دمشق', '،', 'و', 'تخرج', 'في', 'العام', '1945', 'من', 'كلية', 'الحقوق', 'في', 'الجامعة', 'السورية']","['O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,1407,"['واستعد', 'المنتخب', 'الكويتي', 'للمباراة', 'من', 'خلال', 'معسكر', 'تدريبي', 'في', 'ألمانيا', 'استمر', 'لمدة', 'أربعين', 'يوما', 'خاض', 'ثلاث', 'مباريات', 'ودية', 'مع', 'فرق', 'متواضعة', 'فلم', 'يحقق', 'الفائدة', 'المرجوة', 'منه', '،', 'فتعادل', 'مع', 'بيهورا', 'الروماني', '1', '-', '1', 'ولقي', 'خسارتين', 'قاسيتين', 'أمام', 'بتروليوم', 'الروماني', '1-6', 'وغيمناستيك', 'الإسباني', 'الصاعد', 'حديثا', 'إلى', 'دوري', 'الأضواء', 'صفر', '-', '6']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
35,1116,"['وأوضح', 'أنان', 'أن', 'قائد', 'قوات', 'الأمم', 'المتحدة', 'في', 'جنوب', 'لبنان', 'الجنرال', 'آلان', 'بيليغريني', 'كان', 'على', 'اتصال', 'طوال', 'النهار', 'مع', 'الضباط', 'الإسرائيليين', 'ليشدد', 'على', 'ضرورة', 'حماية', 'هذا', 'الموقع', 'من', 'أي', 'هجوم']","['O', 'B-PERS', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,2342,"['مقاتلو', 'حزب', 'الله', 'يجبرون', 'القوة', 'المهاجمة', 'علي', 'التراجع', 'بعد', 'اشتباك', 'بالقرب', 'من', 'بعلبك', 'متحدث', 'إسرائيلي', ':', 'العملية', 'لوقف', 'تهريب', 'الأسلحة']","['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,3267,"['وستخوض', 'إيطاليا', 'مباراتها', 'المقبلة', 'بالمجموعة', 'الثانية', 'للتصفيات', 'الأربعاء', 'المقبل', '،', 'ضد', 'فرنسا', 'التي', 'حسمت', 'مباراتها', 'مع', 'جورجيا', 'في', 'ربع', 'الساعة', 'الأول', 'بعد', 'أن', 'تقدمت', 'بهدفين', 'لفلوران', 'مالودا', '(', '7', ')', 'ولويس', 'ساها', '(', '16', ')', 'إثر', 'تمريرتين', 'من', 'المتألق', 'فرانك', 'ريبيري', '،', 'ثم', 'عززت', 'بهدف', 'ثالث', 'في', 'الشوط', 'الثاني', 'سجله', 'مدافع', 'جورجيا', 'أساتياني', 'بطريق', 'الخطأ']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PERS', 'O', 'O']"
